date,time,home_team,away_team,home_goals,away_goals,result,year,total_goals,home_date,home_goals_for,home_goals_against,home_points,home_form_5,home_goals_for_5,home_goals_against_5,home_goal_diff_5,away_date,away_goals_for,away_goals_against,away_points,away_form_5,away_goals_for_5,away_goals_against_5,away_goal_diff_5,home_tier,away_tier,diff_tier,diff_form_5,diff_goals_for_5,diff_goals_against_5
2012-07-22,01:00:00,Monterrey,Club América,0.0,0.0,D,2012,0.0,2012-07-22,0.0,0.0,1,1.0,1.2,1.4,-0.19999999999999996,2012-07-22,0.0,0.0,1,1.6,2.0,1.4,0.6000000000000001,1,1,0,-0.6000000000000001,-0.8,0.0
2012-07-22,01:00:00,Santos Laguna,Atlético de San Luis,2.0,1.0,H,2012,3.0,2012-07-22,2.0,1.0,3,2.2,2.0,1.2,0.8,2012-07-22,1.0,2.0,0,0.4,0.8,2.2,-1.4000000000000001,1,3,2,1.8000000000000003,1.2,-1.0000000000000002
2012-07-23,00:00:00,Atlante,Pachuca,0.0,0.0,D,2012,0.0,2012-07-23,0.0,0.0,1,0.8,1.2,2.4,-1.2,2012-07-23,0.0,0.0,1,1.0,0.6,1.6,-1.0,3,1,-2,-0.19999999999999996,0.6,0.7999999999999998
2012-07-28,01:30:00,Morelia,Monterrey,1.0,0.0,H,2012,1.0,2012-07-28,1.0,0.0,3,0.8,0.8,1.0,-0.19999999999999996,2012-07-28,0.0,1.0,0,1.0,1.0,1.2,-0.19999999999999996,2,1,-1,-0.19999999999999996,-0.19999999999999996,-0.19999999999999996
2012-07-28,03:30:00,León,Tijuana,4.0,0.0,H,2012,4.0,2012-07-28,4.0,0.0,3,2.0,1.8,1.2,0.6000000000000001,2012-07-28,0.0,4.0,0,2.2,1.2,0.2,1.0,1,2,1,-0.20000000000000018,0.6000000000000001,1.0
2012-07-28,23:00:00,Club América,Chiapas,4.0,2.0,H,2012,6.0,2012-07-28,4.0,2.0,3,1.6,1.8,1.2,0.6000000000000001,2012-07-28,2.0,4.0,0,1.4,1.8,1.4,0.40000000000000013,1,2,1,0.20000000000000018,0.0,-0.19999999999999996
2012-07-29,01:00:00,Tigres UANL,Atlante,2.0,1.0,H,2012,3.0,2012-07-29,2.0,1.0,3,1.4,1.4,0.8,0.5999999999999999,2012-07-29,1.0,2.0,0,0.4,1.0,2.4,-1.4,1,3,2,0.9999999999999999,0.3999999999999999,-1.5999999999999999
2012-07-29,01:00:00,Pachuca,Atlas,0.0,3.0,A,2012,3.0,2012-07-29,0.0,3.0,0,1.0,0.4,1.4,-0.9999999999999999,2012-07-29,3.0,0.0,3,0.8,1.0,1.2,-0.19999999999999996,1,2,1,0.19999999999999996,-0.6,0.19999999999999996
2012-07-29,18:00:00,Pumas UNAM,Querétaro,3.0,0.0,H,2012,3.0,2012-07-29,3.0,0.0,3,0.8,1.0,1.8,-0.8,2012-07-29,0.0,3.0,0,0.2,0.4,1.8,-1.4,2,2,0,0.6000000000000001,0.6,0.0
2012-07-29,18:00:00,Puebla,Toluca FC,1.0,3.0,A,2012,4.0,2012-07-29,1.0,3.0,0,1.6,1.6,1.4,0.20000000000000018,2012-07-29,3.0,1.0,3,2.0,1.6,1.0,0.6000000000000001,2,1,-1,-0.3999999999999999,0.0,0.3999999999999999
2012-07-29,23:00:00,Guadalajara,Santos Laguna,0.0,1.0,A,2012,1.0,2012-07-29,0.0,1.0,0,2.0,1.4,0.8,0.5999999999999999,2012-07-29,1.0,0.0,3,2.2,1.8,1.2,0.6000000000000001,1,1,0,-0.20000000000000018,-0.40000000000000013,-0.3999999999999999
2012-07-29,03:00:00,Atlético de San Luis,Cruz Azul,1.0,2.0,A,2012,3.0,2012-07-29,1.0,2.0,0,0.4,1.0,2.2,-1.2000000000000002,2012-07-29,2.0,1.0,3,1.2,1.2,0.6,0.6,3,1,-2,-0.7999999999999999,-0.19999999999999996,1.6
2012-08-10,00:00:00,Atlante,Morelia,2.0,2.0,D,2012,4.0,2012-08-10,2.0,2.0,1,0.4,1.0,2.2,-1.2000000000000002,2012-08-10,2.0,2.0,1,1.4,1.0,0.8,0.19999999999999996,3,2,-1,-0.9999999999999999,0.0,1.4000000000000001
2012-08-10,02:00:00,Tijuana,Toluca FC,1.0,0.0,H,2012,1.0,2012-08-10,1.0,0.0,3,1.6,0.8,1.0,-0.19999999999999996,2012-08-10,0.0,1.0,0,2.6,2.2,0.8,1.4000000000000001,2,1,-1,-1.0,-1.4000000000000001,0.19999999999999996
2012-08-11,02:30:00,Monterrey,Toluca FC,2.0,2.0,D,2012,4.0,2012-08-11,2.0,2.0,1,0.8,0.8,1.2,-0.3999999999999999,2012-08-11,2.0,2.0,1,2.0,1.4,0.8,0.5999999999999999,1,1,0,-1.2,-0.5999999999999999,0.3999999999999999
2012-08-13,00:00:00,Guadalajara,Morelia,1.0,1.0,D,2012,2.0,2012-08-13,1.0,1.0,1,1.4,1.0,0.8,0.19999999999999996,2012-08-13,1.0,1.0,1,1.4,0.8,0.6,0.20000000000000007,1,2,1,0.0,0.19999999999999996,0.20000000000000007
2012-08-18,01:30:00,Tijuana,Tigres UANL,2.0,1.0,H,2012,3.0,2012-08-18,2.0,1.0,3,1.6,0.8,1.0,-0.19999999999999996,2012-08-18,1.0,2.0,0,2.0,1.6,0.6,1.0,2,1,-1,-0.3999999999999999,-0.8,0.4
2012-08-18,03:30:00,Cruz Azul,León,1.0,1.0,D,2012,2.0,2012-08-18,1.0,1.0,1,1.8,1.4,0.4,0.9999999999999999,2012-08-18,1.0,1.0,1,2.0,2.2,1.0,1.2000000000000002,1,1,0,-0.19999999999999996,-0.8000000000000003,-0.6
2012-08-18,03:30:00,Morelia,Puebla,3.0,0.0,H,2012,3.0,2012-08-18,3.0,0.0,3,1.4,1.0,0.8,0.19999999999999996,2012-08-18,0.0,3.0,0,1.4,1.4,1.6,-0.20000000000000018,2,2,0,0.0,-0.3999999999999999,-0.8
2012-08-18,23:00:00,Querétaro,Club América,0.0,4.0,A,2012,4.0,2012-08-18,0.0,4.0,0,0.2,0.4,2.2,-1.8000000000000003,2012-08-18,4.0,0.0,3,1.6,2.2,1.4,0.8000000000000003,2,1,-1,-1.4000000000000001,-1.8000000000000003,0.8000000000000003
2012-08-19,18:00:00,Toluca FC,Pachuca,1.0,0.0,H,2012,1.0,2012-08-19,1.0,0.0,3,2.0,1.8,1.2,0.6000000000000001,2012-08-19,0.0,1.0,0,1.0,0.4,1.2,-0.7999999999999999,1,1,0,1.0,1.4,0.0
2012-08-19,03:00:00,Atlético de San Luis,Guadalajara,0.0,1.0,A,2012,1.0,2012-08-19,0.0,1.0,0,0.4,1.0,2.2,-1.2000000000000002,2012-08-19,1.0,0.0,3,1.0,1.0,1.0,0.0,3,1,-2,-0.6,0.0,1.2000000000000002
2012-08-19,03:00:00,Atlas,Chiapas,1.0,1.0,D,2012,2.0,2012-08-19,1.0,1.0,1,1.4,1.4,0.8,0.5999999999999999,2012-08-19,1.0,1.0,1,0.8,1.6,2.2,-0.6000000000000001,2,2,0,0.5999999999999999,-0.20000000000000018,-1.4000000000000001
2012-08-19,01:00:00,Monterrey,Atlante,1.0,1.0,D,2012,2.0,2012-08-19,1.0,1.0,1,1.0,1.2,1.4,-0.19999999999999996,2012-08-19,1.0,1.0,1,0.6,1.4,1.8,-0.40000000000000013,1,3,2,0.4,-0.19999999999999996,-0.40000000000000013
2012-08-19,01:00:00,Santos Laguna,Pumas UNAM,1.0,2.0,A,2012,3.0,2012-08-19,1.0,2.0,0,2.2,1.6,1.0,0.6000000000000001,2012-08-19,2.0,1.0,3,1.4,1.6,1.2,0.40000000000000013,1,2,1,0.8000000000000003,0.0,-0.19999999999999996
2012-08-25,01:30:00,Chiapas,Querétaro,2.0,1.0,H,2012,3.0,2012-08-25,2.0,1.0,3,1.0,1.6,2.0,-0.3999999999999999,2012-08-25,1.0,2.0,0,0.2,0.4,2.8,-2.4,2,2,0,0.8,1.2000000000000002,-0.7999999999999998
2012-08-25,02:30:00,León,Morelia,1.0,3.0,A,2012,4.0,2012-08-25,1.0,3.0,0,2.2,2.2,0.8,1.4000000000000001,2012-08-25,3.0,1.0,3,1.8,1.4,0.6,0.7999999999999999,1,2,1,0.40000000000000013,0.8000000000000003,0.20000000000000007
2012-08-25,23:00:00,Club América,Tijuana,0.0,1.0,A,2012,1.0,2012-08-25,0.0,1.0,0,1.6,2.2,1.4,0.8000000000000003,2012-08-25,1.0,0.0,3,2.0,1.0,1.0,0.0,1,2,1,-0.3999999999999999,1.2000000000000002,0.3999999999999999
2012-08-26,01:00:00,Tigres UANL,Toluca FC,1.0,1.0,D,2012,2.0,2012-08-26,1.0,1.0,1,1.4,1.6,1.0,0.6000000000000001,2012-08-26,1.0,1.0,1,2.0,1.6,1.0,0.6000000000000001,1,1,0,-0.6000000000000001,0.0,0.0
2012-08-26,18:00:00,Pumas UNAM,Cruz Azul,0.0,1.0,A,2012,1.0,2012-08-26,0.0,1.0,0,2.0,2.0,1.2,0.8,2012-08-26,1.0,0.0,3,1.8,1.6,0.6,1.0,2,1,-1,0.19999999999999996,0.3999999999999999,0.6
2012-08-26,01:00:00,Pachuca,Santos Laguna,0.0,0.0,D,2012,0.0,2012-08-26,0.0,0.0,1,0.4,0.2,1.4,-1.2,2012-08-26,0.0,0.0,1,2.0,1.4,1.0,0.3999999999999999,1,1,0,-1.6,-1.2,0.3999999999999999
2012-08-26,23:00:00,Guadalajara,Monterrey,1.0,2.0,A,2012,3.0,2012-08-26,1.0,2.0,0,1.4,1.2,1.0,0.19999999999999996,2012-08-26,2.0,1.0,3,0.6,1.0,1.4,-0.3999999999999999,1,1,0,0.7999999999999999,0.19999999999999996,-0.3999999999999999
2012-08-26,18:00:00,Puebla,Atlético de San Luis,1.0,0.0,H,2012,1.0,2012-08-26,1.0,0.0,3,0.8,1.0,2.2,-1.2000000000000002,2012-08-26,0.0,1.0,0,0.2,0.4,1.8,-1.4,2,3,1,0.6000000000000001,0.6,0.40000000000000013
2012-08-27,00:00:00,Atlante,Atlas,1.0,0.0,H,2012,1.0,2012-08-27,1.0,0.0,3,0.8,1.2,1.4,-0.19999999999999996,2012-08-27,0.0,1.0,0,1.4,1.2,0.6,0.6,3,2,-1,-0.5999999999999999,0.0,0.7999999999999999
2012-09-15,23:00:00,Club América,Santos Laguna,2.0,0.0,H,2012,2.0,2012-09-15,2.0,0.0,3,1.4,1.8,1.2,0.6000000000000001,2012-09-15,0.0,2.0,0,1.6,1.0,0.8,0.19999999999999996,1,1,0,-0.20000000000000018,0.8,0.3999999999999999
2012-09-15,01:30:00,Chiapas,Toluca FC,2.0,0.0,H,2012,2.0,2012-09-15,2.0,0.0,3,1.4,1.8,2.0,-0.19999999999999996,2012-09-15,0.0,2.0,0,1.6,1.4,1.0,0.3999999999999999,2,1,-1,-0.20000000000000018,0.40000000000000013,1.0
2012-09-15,01:30:00,Pachuca,Morelia,3.0,2.0,H,2012,5.0,2012-09-15,3.0,2.0,3,0.6,0.2,1.0,-0.8,2012-09-15,2.0,3.0,0,2.2,2.0,0.8,1.2,1,2,1,-1.6,-1.8,0.19999999999999996
2012-09-15,03:30:00,León,Guadalajara,1.0,2.0,A,2012,3.0,2012-09-15,1.0,2.0,0,1.6,1.8,1.0,0.8,2012-09-15,2.0,1.0,3,0.8,0.8,1.2,-0.3999999999999999,1,1,0,0.8,1.0,-0.19999999999999996
2012-09-16,18:00:00,Puebla,Monterrey,2.0,3.0,A,2012,5.0,2012-09-16,2.0,3.0,0,1.2,0.8,1.8,-1.0,2012-09-16,3.0,2.0,3,1.2,1.0,1.0,0.0,2,1,-1,0.0,-0.19999999999999996,0.8
2012-09-16,18:00:00,Pumas UNAM,Atlético de San Luis,0.0,1.0,A,2012,1.0,2012-09-16,0.0,1.0,0,2.0,1.8,1.0,0.8,2012-09-16,1.0,0.0,3,0.0,0.4,2.0,-1.6,2,3,1,2.0,1.4,-1.0
2012-09-16,01:00:00,Tigres UANL,Cruz Azul,2.0,0.0,H,2012,2.0,2012-09-16,2.0,0.0,3,1.4,1.8,1.2,0.6000000000000001,2012-09-16,0.0,2.0,0,1.8,1.0,0.6,0.4,1,1,0,-0.40000000000000013,0.8,0.6
2012-09-16,03:00:00,Atlas,Querétaro,0.0,0.0,D,2012,0.0,2012-09-16,0.0,0.0,1,1.2,1.2,0.8,0.3999999999999999,2012-09-16,0.0,0.0,1,0.2,0.4,2.4,-2.0,2,2,0,1.0,0.7999999999999999,-1.5999999999999999
2012-09-17,00:00:00,Atlante,Tijuana,1.0,2.0,A,2012,3.0,2012-09-17,1.0,2.0,0,1.2,1.0,1.0,0.0,2012-09-17,2.0,1.0,3,2.4,1.2,1.0,0.19999999999999996,3,2,-1,-1.2,-0.19999999999999996,0.0
